Date,Tag,Commit,ROM,Preset,CPU,MIPS,Notes,StdDev,Samples,RunMedians
2024-11-18,1.4.0,3fedce01b,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,235.52,,6.99,66,236.3|234.5|235.5
2024-11-18,1.4.0,3fedce01b,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,976.70,build-only patch,25.99,98,947.5|976.7|976.8
2024-11-18,1.4.0,3fedce01b,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,598.36,build-only patch,14.88,89,596.5|602.8|598.4
2024-12-14,1.4.1,be80626bb,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,938.47,build-only patch,21.41,96,938.9|938.5|934.3
2024-12-14,1.4.1,be80626bb,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,336.54,build-only patch,12.38,67,335.7|336.5|350.7
2024-12-14,1.4.1,be80626bb,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,558.87,build-only patch,25.71,82,558.9|568.8|521.4
2024-12-14,1.4.1,be80626bb,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,238.39,build-only patch,6.73,69,237.9|238.4|239.0
2025-02-01,1.4.2,4e31c7314,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,339.97,,13.15,69,343.7|337.4|340.0
2025-02-01,1.4.2,4e31c7314,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,237.98,,6.06,69,238.8|238.0|238.0
2025-02-01,1.4.2,4e31c7314,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,960.31,build-only patch,14.99,97,950.2|960.3|963.6
2025-02-01,1.4.2,4e31c7314,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,580.31,build-only patch,10.50,87,580.3|573.1|581.1
2025-03-09,1.4.4,30c101d5e,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1010.94,,20.24,103,1019.0|1010.9|990.3
2025-03-09,1.4.4,30c101d5e,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,335.74,,20.74,69,354.4|334.1|335.7
2025-03-09,1.4.4,30c101d5e,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,595.04,,13.01,89,588.2|597.1|595.0
2025-03-09,1.4.4,30c101d5e,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,233.33,,6.71,67,229.5|233.3|234.7
